time;stockInWarehouse;stockInFinalDest;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge;totalNumberOfBatch;stockOnRoadsProviderToLarge;stockOnRoadsLargeToAverage;stockOnRoadsAverageToSmall;stockOnRoadsSmallToFinal;stockOnRoads
61,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
62,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
63,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
64,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
65,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
66,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
67,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
68,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
69,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
70,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
71,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
72,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
73,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
74,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
75,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
76,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
77,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
78,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
79,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
80,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
81,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
82,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
83,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
84,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
85,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
