time;stockInWarehouse;stockInFinalDest;stockOnRoads;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge
964800,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
968400,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
972000,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
975600,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
979200,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
982800,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
986400,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
990000,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
993600,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
997200,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1000800,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1004400,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1008000,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1011600,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1015200,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1018800,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1022400,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1026000,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1029600,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1033200,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1036800,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
1040400,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1044000,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1047600,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1051200,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1054800,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1058400,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1062000,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1065600,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1069200,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1072800,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1076400,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1080000,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1083600,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1087200,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1090800,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1094400,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1098000,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1101600,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1105200,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
